scenario_id,p,config,seed,spawned,passed,pass_rate,avg_travel_time,avg_gate_wait,throughput_active,W1_avg,W1_pk,W2_avg,W2_pk
p70_cfg3_s43,0.7,3,43,823,823,1.0,53.47922318125771,17.8287970838396,1.5331594634873325,0.4098365977005525,0.8778280542986425,0.377064323532725,0.7636363636363637
p70_cfg3_s44,0.7,3,44,807,807,1.0,49.995466321243526,14.049256505576198,1.482502066685037,0.3683774272009566,0.9140271493212669,0.4282613937786352,0.8363636363636363
p70_cfg3_s46,0.7,3,46,811,811,1.0,50.17703751617077,14.398643649815034,1.472403776325345,0.3618652589240825,0.9140271493212669,0.46247086247086244,0.9454545454545454
p70_cfg3_s45,0.7,3,45,857,857,1.0,51.76024096385543,12.935472578763118,1.5756572899430044,0.3760652916192433,0.8959276018099548,0.5284062570845613,1.018181818181818
p70_cfg4_s42,0.7,4,42,794,794,1.0,47.227518891687666,7.292947103274553,1.535486366273448,0.2807991120976692,0.7058823529411765,0.48855168676331123,0.9818181818181818
p70_cfg4_s44,0.7,4,44,807,807,1.0,46.814331210191085,6.6170384138785545,1.530873565398843,0.3145958900434604,0.7782805429864253,0.539864314789688,1.0909090909090908
p70_cfg4_s43,0.7,4,43,823,823,1.0,48.28086269744837,6.842709599027939,1.5979031162023105,0.32382686448775033,0.7058823529411765,0.5615234120255641,1.1272727272727272
p70_cfg4_s45,0.7,4,45,857,857,1.0,49.4688018979834,7.873862310385057,1.6392501912777355,0.3478739810530954,0.7601809954751131,0.5682141471615155,1.0909090909090908
p70_cfg4_s46,0.7,4,46,811,811,1.0,47.14281210592687,6.561405672009859,1.5358394091468612,0.2905787277497051,0.7149321266968326,0.563909363909364,1.1272727272727272
p70_cfg5_s42,0.7,5,42,794,794,1.0,47.76511335012595,6.081423173803522,1.5082154050717065,0.24183876371948831,0.6153846153846154,0.5941632231404959,1.5272727272727273
p70_cfg5_s43,0.7,5,43,823,823,1.0,48.380365853658546,7.796294046172533,1.487976857711083,0.2722648988038865,0.6515837104072398,0.5951030303030302,1.4181818181818182
p70_cfg5_s44,0.7,5,44,807,807,1.0,47.23550446998724,6.068215613382893,1.4976338498654542,0.26847134765686803,0.6787330316742082,0.6224163027656477,1.5272727272727273
p70_cfg5_s45,0.7,5,45,857,857,1.0,48.759940476190486,7.492182030338382,1.6131764705882352,0.26766917293233083,0.6515837104072398,0.6603904659240628,1.490909090909091
p70_cfg5_s46,0.7,5,46,811,811,1.0,47.56892405063292,8.673612823674473,1.4752160072760345,0.2657102543250551,0.7601809954751131,0.5345966709346991,1.2727272727272727
p70_cfg6_s42,0.7,6,42,794,770,0.9697732997481109,55.321372549019614,21.03625162127107,1.3630336780694774,0.28583976577056164,0.579185520361991,0.26527272727272727,0.9454545454545454
p70_cfg6_s43,0.7,6,43,823,778,0.945321992709599,58.14721862871928,23.219768934531448,1.3788830869988493,0.29785289681483457,0.5701357466063348,0.2908359246387415,0.9454545454545454
p70_cfg6_s44,0.7,6,44,807,769,0.952912019826518,55.20821094793059,20.029220779220772,1.3676731793960923,0.2900082188564048,0.6244343891402715,0.31132248033656484,1.1636363636363636
p70_cfg6_s45,0.7,6,45,857,807,0.941656942823804,59.23333333333335,23.876670792079207,1.4311016648955013,0.3031674208144796,0.6063348416289592,0.29672727272727273,0.9090909090909091
p70_cfg6_s46,0.7,6,46,811,769,0.9482120838471023,57.55729303547965,22.795454545454547,1.363073110285006,0.2899387809422412,0.5610859728506787,0.2646926063013451,1.0545454545454545
p80_cfg1_s42,0.8,1,42,794,478,0.6020151133501259,151.21774891774893,117.68682008368201,0.8478183753103938,0.3973471741637832,0.9321266968325792,0.14591800356506238,0.36363636363636365
p80_cfg1_s43,0.8,1,43,823,495,0.6014580801944107,143.46177083333336,111.1721212121212,0.8780487804878049,0.41550882796557537,0.8687782805429864,0.1475579322638146,0.32727272727272727
p80_cfg1_s44,0.8,1,44,807,487,0.6034696406443618,140.00845665961944,105.61639344262295,0.8634875696717685,0.4093425605536332,0.8959276018099548,0.14627450980392157,0.32727272727272727
p80_cfg1_s45,0.8,1,45,857,498,0.5810968494749125,143.76180124223606,110.9839357429719,0.8830570086000531,0.4312128471298021,0.9230769230769231,0.1542602495543672,0.4
p80_cfg2_s42,0.8,2,42,794,778,0.9798488664987406,68.55179760319575,38.87804878048779,1.3793714032757858,0.4428172416396165,0.8235294117647058,0.14106090373280944,0.43636363636363634
p80_cfg1_s46,0.8,1,46,811,477,0.5881627620221949,151.99318181818182,118.5332285115304,0.8456697101320806,0.4174252506432437,0.9230769230769231,0.14352941176470588,0.2545454545454545
p80_cfg2_s43,0.8,2,43,823,794,0.9647630619684082,66.98859191655802,36.94396226415093,1.4082012222123816,0.44906060861726743,0.7873303167420814,0.14749262536873156,0.4
p80_cfg2_s44,0.8,2,44,807,742,0.919454770755886,65.44888111888112,34.28943472409151,1.3136492220650635,0.4551990261157176,0.8959276018099548,0.14331767523256886,0.2909090909090909
p80_cfg2_s45,0.8,2,45,857,789,0.9206534422403734,70.08536745406825,40.596839443742084,1.4001239047703335,0.4788394996007453,0.7873303167420814,0.14003565062388593,0.2909090909090909
p80_cfg2_s46,0.8,2,46,811,760,0.93711467324291,71.65389344262296,42.51141732283463,1.3490307161193236,0.484484135361119,0.8144796380090498,0.14199484725800515,0.36363636363636365
p80_cfg3_s42,0.8,3,42,794,794,1.0,53.699300254452936,20.563727959697722,1.4653501891667435,0.40112149077993475,0.8597285067873304,0.2751830573391912,0.5454545454545454
p80_cfg3_s43,0.8,3,43,823,823,1.0,55.654770755886005,21.51117861482381,1.508569333699936,0.4309867059525062,0.9321266968325792,0.2887597324268012,0.509090909090909
