time,track_id,direction,vtype,bbox_height,cx,cy,zone
11:33:06,5,Upward,Car,138,1016,837,0
11:33:06,1,Upward,Car,413,1369,841,0
11:33:06,2,Downward,Car,213,445,867,0
11:33:08,1,Upward,Car,149,1007,821,0
11:33:09,2,Downward,Car,245,596,954,0
11:33:09,1,Downward,Car,186,403,858,0
11:33:11,1,Downward,Car,224,628,870,0
11:33:13,1,Downward,Car,185,572,872,0
11:33:15,1,Downward,Car,222,627,884,0
11:33:18,1,Downward,Truck_L,412,365,850,0
11:33:18,5,Downward,Truck_L,314,235,914,1
11:33:20,1,Downward,Car,210,671,851,0
11:33:21,1,Upward,Car,139,1006,819,0
11:33:21,5,Downward,Car,251,343,950,1
11:33:23,2,Downward,Car,245,629,883,1
11:33:24,1,Downward,Car,216,426,863,0
11:33:25,1,Upward,Truck_L,380,1308,820,0
11:33:28,2,Upward,Truck_S,119,1011,566,0
11:33:29,1,Downward,Car,201,415,874,0
11:33:30,1,Downward,Car,200,414,879,0
11:33:32,1,Downward,Car,204,386,882,0
11:33:32,2,Downward,Car,189,252,983,0
11:33:32,1,Downward,Car,210,679,874,0
11:33:34,1,Downward,Car,201,427,866,0
11:33:49,1,Downward,Car,183,646,866,0
11:33:51,1,Downward,Car,237,638,884,0
11:33:53,2,Downward,Car,200,662,872,0
11:33:54,1,Downward,Truck_L,394,226,871,1
11:34:12,1,Downward,Car,274,393,870,0
11:34:26,1,Downward,Truck_L,346,346,888,0
11:34:30,2,Upward,Truck_S,121,1200,823,0
11:34:36,1,Downward,Truck_L,326,388,852,0
11:35:22,1,Upward,Car,139,1014,827,0
11:35:27,1,Upward,Car,172,1224,834,0
11:35:28,1,Upward,Car,148,996,822,0
11:35:31,1,Upward,Car,154,1036,843,0
11:35:33,4,Upward,Car,124,1186,839,0
11:35:33,1,Downward,Car,264,625,912,0
11:35:34,1,Downward,Car,190,427,872,0
11:35:35,1,Downward,Car,212,666,863,0
11:35:36,1,Downward,Car,209,415,891,0
11:35:36,1,Downward,Car,196,653,859,0
11:35:39,1,Upward,Car,154,1017,834,0
11:35:40,1,Upward,Car,201,1253,831,0
11:35:41,1,Upward,Car,140,1015,818,0
11:35:42,1,Downward,Car,216,445,861,0
11:35:45,1,Upward,Car,210,1249,820,0
11:35:47,1,Upward,Bus,446,1417,848,1
11:35:49,1,Downward,Truck_S,232,632,913,0
11:35:50,1,Upward,Truck_S,204,1227,848,0
11:41:25,1,Downward,Truck_S,206,405,880,0
11:41:27,2,Downward,Car,230,384,877,1
11:41:27,5,Downward,Truck_S,214,258,970,1
11:41:28,1,Downward,Car,188,684,883,0
11:41:29,1,Downward,Car,187,663,855,0
