t_sec,rho,v_mps,n_agents
727.561,0.5,0.5418853862141981,1
727.594,0.5,0.2649053616649408,1
727.628,0.5,0.3016055016573974,1
727.661,0.5,0.18801453050617012,1
727.694,0.5,0.3103611443824857,1
729.93,0.5,1.3681728065853538,1
729.963,0.5,1.8008161177519793,1
729.997,0.5,1.0562710024060211,1
730.03,0.5,0.7116804963847255,1
730.063,0.5,1.1446732976466498,1
730.097,0.5,1.7695459793882962,1
730.13,0.5,1.0913472356508827,1
730.163,0.5,2.2478198938432623,1
730.197,0.5,2.1780205689065926,1
730.23,0.5,2.390955912261666,1
730.264,0.5,1.3303957980239693,1
730.297,0.5,0.5082181616150058,1
730.33,0.5,0.5331092958652298,1
730.364,0.5,0.3186711994980218,1
730.397,0.5,0.26827754335331433,1
730.43,0.5,0.264905361665856,1
730.464,0.5,0.22563951486452852,1
730.497,0.5,0.3917531497167635,1
730.531,0.5,0.7327153726272307,1
730.564,0.5,0.50304932851978,1
730.597,0.5,0.4470214910699754,1
730.631,0.5,1.077648387285632,1
730.664,0.5,2.313601981265782,1
730.697,0.5,1.883704892598007,1
730.731,0.5,0.6727370012302155,1
730.764,0.5,0.7376274040261036,1
730.797,0.5,0.6711296820431545,1
730.831,0.5,0.20956958995108904,1
730.864,0.5,0.2600344953645542,1
730.898,0.5,0.15840280401178286,1
730.931,0.5,0.0809767925346635,1
730.964,0.5,0.10325630094970209,1
730.998,0.5,0.1698896834369103,1
731.031,0.5,0.19139835962069884,1
731.064,0.5,0.7158513302289289,1
731.098,0.5,0.7686012725626126,1
731.131,0.5,0.2449357117194729,1
731.164,0.5,1.1053019236024086,1
731.198,0.5,0.9757338300685449,1
731.231,0.5,0.9676990942385745,1
731.265,0.5,0.158715205135987,1
731.298,0.5,0.6328531259725565,1
731.331,0.5,0.9491602953853467,1
731.365,0.5,0.6865811380043152,1
760.36,0.5,1.5551769251273586,1
760.394,0.5,1.307413859305882,1
760.427,0.5,1.3878152902882384,1
760.46,0.5,1.3284936928016884,1
760.494,0.5,1.1894825089605887,1
760.527,0.5,1.082923485594551,1
760.561,0.5,1.0100090179834202,1
760.594,0.5,0.8483344140691881,1
760.627,0.5,0.5801091969284434,1
760.661,0.5,0.45710042749610186,1
760.694,0.5,0.47095195560171027,1
760.727,0.5,0.36127577701768,1
760.761,0.5,0.29959376045379266,1
760.794,0.5,0.3746412263132988,1
760.827,0.5,0.32231196702534287,1
760.861,0.5,0.24480692373420446,1
760.894,0.5,0.36943189362581524,1
760.928,0.5,0.35694751951887177,1
760.961,0.5,0.4999623342810012,1
760.994,0.5,1.3470324611020745,1
761.028,0.5,0.5163068091497065,1
761.061,0.5,0.4900270138532315,1
761.094,0.5,0.8182713622767134,1
761.128,0.5,0.5745462449976844,1
761.161,0.5,0.4900270138548922,1
761.195,0.5,0.6166347783334245,1
761.228,0.5,0.4528984646139662,1
761.261,0.5,0.4085091444912258,1
761.295,0.5,0.4048243323250434,1
761.328,0.5,0.38408786455113053,1
761.361,0.5,2.0905469729480064,1
761.395,0.5,1.9582864173556287,1
761.428,0.5,1.874581688411672,1
761.461,0.5,0.9628729275320117,1
761.495,0.5,0.2654758533584052,1
761.528,0.5,0.37494721790474,1
761.562,0.5,0.25026576263162265,1
761.595,0.5,0.1681502102415663,1
761.628,0.5,0.1681502102415663,1
761.662,0.5,0.1264062507466727,1
761.695,0.5,0.08622076680306684,1
761.728,0.5,0.0910939403876941,1
761.762,0.5,0.5795640657360221,1
761.795,0.5,0.43031659031300074,1
761.828,0.5,1.1757574060878249,1
761.862,0.5,1.8622058745059946,1
761.895,0.5,1.6230711968779281,1
761.929,0.5,1.8207618562698284,1
761.962,0.5,1.4577250206385692,1
761.995,0.5,0.9112173065938545,1
762.029,0.5,1.0612188839901138,1
762.062,0.5,0.5500089657835059,1
762.095,0.5,0.19963673997309744,1
762.129,0.5,0.10592487875443571,1
762.162,0.5,0.8097679253466888,1
762.196,0.5,0.5348624703738006,1
762.229,0.5,0.17313155784618914,1
762.262,0.5,0.10150277599507784,1
762.296,0.5,0.08160230791113181,1
762.329,0.5,0.1996367399737784,1
762.362,0.5,0.21149072890542517,1
762.396,0.5,0.2366152846598488,1
762.429,0.5,0.028740255601034943,1
762.462,0.5,1.404130181271965,1
762.496,0.5,1.8670541692346632,1
762.529,0.5,1.0544758364423172,1
762.563,0.5,0.9254011157339651,1
762.596,0.5,0.3340279189083445,1
762.629,0.5,0.6086949163607426,1
762.663,0.5,0.21184975750884347,1
762.696,0.5,0.17503785566214708,1
762.729,0.5,0.17413681688447524,1
762.763,0.5,0.16901514579976218,1
762.796,0.5,0.06406732986955464,1
762.829,0.5,0.250520939182119,1
762.863,0.5,0.29061528451271923,1
762.896,0.5,0.33769269289168097,1
762.93,0.5,0.2528125014933189,1
